"Source:","/Users/komaljaved/Documents/Capstone_main/Capstone/Hardware/tool_circuit/tool_circuit.sch"
"Date:","Sunday, November 07, 2021 at 07:52:26 pm"
"Tool:","Eeschema (5.1.10-1-10_14)"
"Component Count:","29"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","100uF","EEUFS1K101:CAPPRD500W60D1000H1250","","",""
"C2","1000uF","URS1E102MHD1TO:URS1E102MHD1TO","","",""
"CR1","B380-13-F","B380-13-F:B380-13-F","","",""
"D1","Green","WP7113GD:LED_WP7113GD","","",""
"D2","Red","WL-TMRC:LED-5MM-ROUND","","",""
"D3","Green","WP7113GD:LED_WP7113GD","","",""
"D4","Yellow","WP7113YD:LED_WP7113YD","","",""
"D5","Green","WP7113GD:LED_WP7113GD","","",""
"D6","Green","WP7113GD:LED_WP7113GD","","",""
"H1","MountingHole","lib:MountingHole_2.7mm_M2.5_uHAT_RPi","~","",""
"H2","MountingHole","lib:MountingHole_2.7mm_M2.5_uHAT_RPi","~","",""
"H3","MountingHole","lib:MountingHole_2.7mm_M2.5_uHAT_RPi","~","",""
"H4","MountingHole","lib:MountingHole_2.7mm_M2.5_uHAT_RPi","~","",""
"J1","EJ503A","EJ503A:MPD_EJ503A","","",""
"J2","Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"J3","Conn_01x08_Female","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","",""
"J4","GPIO_CONNECTOR","lib:PinSocket_2x20_P2.54mm_Vertical_Centered_Anchor","~","",""
"L1","100 uH","IHLP-4040DZ_VIS:IHLP4040DZER101M11","","",""
"LED1","Blue","Blue LED:151034BS03000","","",""
"R2","820","CRGCQ1206F820R:RESC3115X65N","","",""
"R3","10k","RNCP1206FTD10K0:RESC3115X60N","","",""
"R4","42.2","RC1206FR-0742R2L:RESC3116X65N","","",""
"R5","100","footprints:RNCP1206FTD100R","","",""
"R6","100","footprints:RNCP1206FTD100R","","",""
"R7","100","footprints:RNCP1206FTD100R","","",""
"R8","220","RMCF1206JT220R:RESC3216X70N","","",""
"R9","130","AC1206FR-07130RL:RESC3116X65N","","",""
"SW1","1825255-1","ul_1825255-1:1825255-1","","",""
"U1","LM2576D2TR4-5G","LM2576D2TR4-5G:D2PAK-5","","",""
